Intensity,Wavelength,Spectrum,Ref
5,3835.384,HI,RCWM80
6,3889.049,HI,RCWM80
8,3970.072,HI,RCWM80
15,4101.74,HI,RCWM80
30P,4340.462,HI,MK00a
30P,4861.2786,HI,MK00a
10P,4861.2870,HI,MK00a
60P,4861.3615,HI,MK00a
90P,6562.7110,HI,MK00a
30P,6562.7248,HI,MK00a
180P,6562.8518,HI,MK00a
5,9545.97,HI,RCWM80
